title,url,price,rating,reviews,packsize,protocal,sense_temp,sense_motion,sense_humidity,sense_uv,sense_light,sense_vibration,sense_plant,sense_door,total_sensors,adjprice,pps,sensors
"GE Enbrighten Z-Wave Plus Portable Smart Motion Sensor, Tabletop/Wall/Ceiling Mount, Battery or USB Powered, Works with Alexa, Google Assistant, ZWave Hub Required, 34193,White",/GE-Enbrighten-Activation-SmartThings-34193/dp/B01KQDIU52/ref=sr_1_9?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-9,42.275,4.0,169.0,1.0,zwave,False,True,False,False,False,False,False,False,1,42.275,42.275,['motion']
"Aeotec Multisensor 6 & Ceiling Recessor, Z-Wave Plus 6-in-1 Motion, Temperature, Humidity, Light, UV, Vibration Sensor, Battery included",/Aeotec-Multisensor-Recessor-Temperature-Vibration/dp/B0773HNJDY/ref=sr_1_11?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-11,66.4905,4.2,49.0,1.0,zwave,True,True,True,True,False,True,False,False,5,66.4905,13.2981,"['temp,motion,humidity,uv,vibration']"
"Monoprice Z-Wave Plus Pir Motion Detector with Temperature Sensor, No Logo | Easy to Install, Passive Infrared Sensor White",/Monoprice-Detector-Temperature-Install-Infrared/dp/B01I5YETV8/ref=sr_1_13?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-13,33.2405,3.9,53.0,1.0,zwave,True,True,False,False,False,False,False,False,2,33.2405,16.62025,"['temp,motion']"
"FIBARO Motion Sensor Z-Wave Plus Multisensor-Movement, Temperature, Light Intensity, Accelerometer, FGMS-001, doesn't work with HomeKit",/Fibaro-FGMS-001-ZW5-motionsensor-Multisensor-FGMS-001/dp/B01KOGDETI/ref=sr_1_14?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-14,40.432,3.8,134.0,1.0,zwave,True,True,False,False,False,False,False,False,2,40.432,20.216,"['temp,motion']"
KAIPULE Wall-Mounted Z-Wave Plus PIR Motion Sensor - Comaptible with Fibaro,/KAIPULE-Wall-Mounted-Z-Wave-Motion-Sensor/dp/B07Z5NNQW7/ref=sr_1_15?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-15,27.540499999999998,3.4,4.0,1.0,zwave,False,True,False,False,False,False,False,False,1,27.540499999999998,27.540499999999998,['motion']
Zooz Z-Wave Plus S2 Outdoor Motion Sensor ZSE29,/Z-Wave-Outdoor-Motion-Sensor-ZSE29/dp/B07KP4T3MS/ref=sr_1_16?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-16,42.7025,4.1,164.0,1.0,zwave,False,True,False,False,False,False,False,False,1,42.7025,42.7025,['motion']
"Aqara Temperature and Humidity Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Remote Monitoring and Smart Home Automation, Wireless Thermometer Hygrometer, Compatible with Apple HomeKit, Alexa",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06405261WZI01JTW5JG8&url=%2FAqara-WSDCGQ11LM-Temperature-Humidity-Sensor%2Fdp%2FB07D37FKGY%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dmotion%2Bsensor%2Bzwave%26qid%3D1612629143%26sr%3D8-17-spons%26psc%3D1&qualifier=1612629143&id=1761588912202259&widgetName=sp_mtf,18.040499999999998,4.3,345.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,18.040499999999998,9.020249999999999,"['temp,humidity']"
"FIBARO FGMS-001 ZW5 Sensor ZW500 Z-Wave Plus Multisensor-Motion, Temperature, Light Intensity, Tamper, work with HomeKit",/Fibaro-Z-Wave-Motion-Sensor-FGMS-001/dp/B01615SUBI/ref=sr_1_18?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-18,42.864,3.8,101.0,1.0,zwave,True,True,False,False,False,True,False,False,3,42.864,14.287999999999998,"['temp,motion,vibration']"
"Aqara Motion Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Alarm System and Smart Home Automation, Broad Detection Range, Compatible with Apple HomeKit, Alexa",/Aqara-RTCGQ11LM-Motion-Sensor-White/dp/B07D1CRRVF/ref=sr_1_19?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-19,19.1805,4.3,262.0,1.0,zigbee,False,True,False,False,False,False,False,False,1,19.1805,19.1805,['motion']
HomeSeer HS-FLS100 Z-Wave Plus Floodlight Sensor (GEN 2),/HomeSeer-HS-FLS100-Z-Wave-Floodlight-Sensor/dp/B08RN5Z8BS/ref=sr_1_20?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-20,47.4525,4.003286384976523,294.80046948356807,1.0,zwave,False,False,False,False,True,False,False,False,1,47.4525,47.4525,['light']
Inteset Zwave Plus PIR Motion Sensor-Works with Smart Things,/Inteset-Zwave-Motion-Sensor-Works-Things/dp/B07VLC423Z/ref=sr_1_21?dchild=1&keywords=motion+sensor+zwave&qid=1612629143&sr=8-21,21.8025,1.0,2.0,1.0,zwave,False,True,False,False,False,False,False,False,1,21.8025,21.8025,['motion']
"Tuya Smart Motion Sensor,WiFi Wireless Security Alarm,with Free Notification APP Control Home Security PIR Motion Detector, Compatible with Alexa, Siri",/Motion-Notification-PIR-Detector-Compatible/dp/B08MFMDCPH/ref=sr_1_3?dchild=1&keywords=motion+sensor+wifi&qid=1612629144&sr=8-3,16.131,3.6,35.0,1.0,wifi,False,True,False,False,False,False,False,False,1,16.131,16.131,['motion']
"Wireless Security Camera, Rechargeable Battery Powered WiFi Camera, 2-Way Audio, 1080P HD Night Vision, PIR Motion Sensor, Indoor/Outdoor, Waterproof, Cloud Storage/SD Slot, Works with Alexa",/Wireless-Security-Rechargeable-Battery-Waterproof/dp/B08F9CN7T9/ref=sr_1_4?dchild=1&keywords=motion+sensor+wifi&qid=1612629144&sr=8-4,75.9905,4.7,34.0,1.0,wifi,False,True,False,False,False,False,False,False,1,75.9905,75.9905,['motion']
"Rreslicam Security Floodlight Camera,Outdoor Light with 1080P HD Floodlight Cam, 2.4G WiFi 120° Wide View 2500 lm IP65 Weatherproof Built-in Siren Alarm Motion Sensor Night Vision Two-Way Audio Alexa",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A008126539KZ7V12WQ5U2&url=%2FRreslicam-Security-Floodlight-Outdoor-Weatherproof%2Fdp%2FB08M47BL5B%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dmotion%2Bsensor%2Bwifi%26qid%3D1612629144%26sr%3D8-7-spons%26psc%3D1&qualifier=1612629144&id=6207714280282630&widgetName=sp_mtf,85.4905,4.0,27.0,1.0,wifi,False,True,False,False,False,False,False,False,1,85.4905,85.4905,['motion']
"Wireless Smart Motion Sensor: TUYA PIR Motion Detector Alert, WiFi Infrared Home Security Alarm System, Motion Detectors Compatible with Alexa,Google Home,Siri,1 Pack",/Wireless-Smart-Motion-Sensor-Compatible/dp/B08T68YPY1/ref=sr_1_11?dchild=1&keywords=motion+sensor+wifi&qid=1612629144&sr=8-11,16.1405,4.003286384976523,294.80046948356807,1.0,wifi,False,True,False,False,False,False,False,False,1,16.1405,16.1405,['motion']
"Smart PIR Motion Sensors: WiFi Motion Detector with Temperature and Humidity Sensor,Movement Detector with USB Charge,Compatible with Alexa,Google Home,for Smart Home Automation.",/Smart-PIR-Motion-Sensors-Temperature/dp/B08T6ZSST1/ref=sr_1_13?dchild=1&keywords=motion+sensor+wifi&qid=1612629144&sr=8-13,22.685999999999996,4.003286384976523,294.80046948356807,1.0,wifi,True,True,True,False,False,False,False,False,3,22.685999999999996,7.5619999999999985,"['temp,motion,humidity']"
Video Doorbell Camera HD WiFi Doorbell Wireless Operated Motion Detector Audio&Speaker Night Vision,/Doorbell-Wireless-Operated-Detector-Speaker/dp/B08QV385YK/ref=sr_1_18?dchild=1&keywords=motion+sensor+wifi&qid=1612629144&sr=8-18,56.9905,2.5,2.0,1.0,wifi,False,True,False,False,False,False,False,True,2,56.9905,28.49525,"['motion,door']"
"Aqara Vibration Sensor, REQUIRES AQARA HUB, Zigbee Connection, Wireless Mini Glass Break Detector for Alarm System and Smart Home Automation, Compatible with Apple HomeKit",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0358170OGFFKSBQIWXA&url=%2FAqara-Vibration-Sensor-Automation-Compatible%2Fdp%2FB07PJT939B%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtemperature%2Bsensor%2Bzigbee%26qid%3D1612629145%26sr%3D8-1-spons%26psc%3D1&qualifier=1612629145&id=4141177604806367&widgetName=sp_atf,18.2305,4.0,147.0,1.0,zigbee,False,False,False,False,False,True,False,False,1,18.2305,18.2305,['vibration']
"Aqara Temperature and Humidity Sensor, REQUIRES AQARA HUB, Zigbee Connection, for Remote Monitoring and Smart Home Automation, Wireless Thermometer Hygrometer, Compatible with Apple HomeKit, Alexa",/Aqara-WSDCGQ11LM-Temperature-Humidity-Sensor/dp/B07D37FKGY/ref=sr_1_3?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-3,18.040499999999998,4.3,345.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,18.040499999999998,9.020249999999999,"['temp,humidity']"
"SONOFF SNZB-02 ZigBee Mini Indoor Temperature and Humidity Sensor for Checking the Room Climate, SONOFF ZigBee Bridge Required, Indoor Thermometer Hygrometer with Alert, Works with Alexa, Google Home",/Temperature-Humidity-Checking-Thermometer-Hygrometer/dp/B08BCJNDYQ/ref=sr_1_4?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-4,18.040499999999998,3.7,70.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,18.040499999999998,9.020249999999999,"['temp,humidity']"
"OWSOO Temperature and Humidity Sensor,Mini Indoor Temp Humidity Monitor,SONOFF SNZB-02 ZigBee Real Time Low-Battery Notification,Works with SONOFF ZigBee Bridge,eWeLink,APP Remote Control",/OWSOO-Temperature-Humidity-Low-Battery-Notification/dp/B08DRCXXNN/ref=sr_1_5?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-5,17.0905,3.8,11.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,17.0905,8.54525,"['temp,humidity']"
"JINQII ZigBee Smart Temperature & Humidity Sensor, Siren with Temp Humidity Monitor, Wireless Thermometer Hygrometer Compatible with Alexa Google Home Tuya/Smart Life (Use with gateway)",/JINQII-Temperature-Thermometer-Hygrometer-Compatible/dp/B08T1KCLXD/ref=sr_1_6?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-6,17.043,4.003286384976523,294.80046948356807,1.0,zigbee,True,False,True,False,False,False,False,False,2,17.043,8.5215,"['temp,humidity']"
"DXSS Tuya ZigBee Smart Temperature Humidity Sensor,Home Automation Remote Control Wireless Thermometer Hygrometer, Tuya/Smart Life App, Requires Zigbee HUB",/DXSS-Temperature-Automation-Thermometer-Hygrometer/dp/B08MTVN6YQ/ref=sr_1_7?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-7,17.850499999999997,4.0,1.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,17.850499999999997,8.925249999999998,"['temp,humidity']"
Tuya Zigbee Temperature and Humidity Sensor with LCD Screen Display White,/Zigbee-Temperature-Humidity-Sensor-Display/dp/B08P7CZ144/ref=sr_1_8?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-8,27.075,2.0,1.0,1.0,zigbee,True,False,True,False,False,False,False,False,2,27.075,13.5375,"['temp,humidity']"
SONPP Zigbee 3.0 Temperature Sensor Tuya and Smart Life App Control Temperature and Humidity Sensor,/SONPP-Zigbee-Temperature-Control-Humidity/dp/B08HSZ8XPZ/ref=sr_1_10?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-10,22.268,4.003286384976523,294.80046948356807,1.0,zigbee,True,False,True,False,False,False,False,False,2,22.268,11.134,"['temp,humidity']"
"Olaf Trading Tuya ZigBee Smart Temperature and Humidity Sensor, Tuya/Smart Life App Battery Powered ZigBee Smart Home Security",/Olaf-Trading-Temperature-Humidity-Security/dp/B08QD3SVW5/ref=sr_1_11?dchild=1&keywords=temperature+sensor+zigbee&qid=1612629145&sr=8-11,15.5705,4.003286384976523,294.80046948356807,1.0,zigbee,True,False,True,False,False,False,False,False,2,15.5705,7.78525,"['temp,humidity']"
